121,0,4,287,14000
231,2,3,287,12000
391,2,3,111,5000
75,1,6,482,4000
35,0,3,170,7000
715,1,4,224,12500
1719,2,4,158,8000
1438,0,3,171,20000
1438,1,2,129,12500
1438,0,1,1265,12500
31,0,7,41,14500
1719,0,3,1681,7000
1438,0,7,41,9000
1148,0,3,1681,9000
715,3,4,1831,12500
1438,4,7,61,22500
1719,3,7,224,9000
1719,4,7,1831,14583.33333
1438,3,5,1831,22500
1719,0,3,1681,9000
1719,4,4,158,12500
231,3,5,1831,12500
73,0,3,1265,7500
1719,0,3,1681,10000
1438,4,2,482,17500
133,1,7,67,5250
391,0,2,482,4550
1148,0,2,1265,14000
1438,3,5,120,12500
1438,1,1,1831,13500
1438,3,5,1831,9000
1719,4,5,1265,20000
